Appliances,Frequency,Total U.S.2,1 member,2 members,3 members,4 members,5 or more members
All ,All homes,118.2,28.5,42.8,19.7,15.4,11.8
Stoves (units with both an oven and a cooktop),Have a stove,108.1,26.3,38.8,18.2,13.9,11
Stoves (units with both an oven and a cooktop),1,105.8,26.1,37.9,17.8,13.5,10.5
Stoves (units with both an oven and a cooktop),2 or more,2.3,0.2,0.9,0.4,0.4,0.5
Stoves (units with both an oven and a cooktop),Do not have a stove,10.1,2.3,4,1.5,1.5,0.9
Most-used stove usage: cooktop part,0 times per week,3.4,2.2,0.6,Q,Q,Q
Most-used stove usage: cooktop part,1 to 3  times per week,16.8,7,6.3,1.7,1.3,0.5
Most-used stove usage: cooktop part,4 to 7 times per week,50.6,11.4,19.1,9.3,6.2,4.6
Most-used stove usage: cooktop part,8 to 14 times per week,23.9,3.7,8.4,4.7,4,3
Most-used stove usage: cooktop part,15 or more times per week,13.4,2,4.2,2.2,2.3,2.7
Most-used stove usage: cooktop part,Do not have a stove,10.1,2.3,4,1.5,1.5,0.9
Most-used stove usage: oven part,0 times per week,18.2,7.6,5.4,1.9,1.9,1.4
Most-used stove usage: oven part,1 to 3  times per week,56.8,14.5,22,9.1,6,5.2
Most-used stove usage: oven part,4 to 7 times per week,28.3,3.8,9.8,6.2,5.1,3.4
Most-used stove usage: oven part,8 to 14 times per week,3.7,0.4,1.4,0.8,0.6,0.6
Most-used stove usage: oven part,15 or more times per week,1.1,N,0.2,Q,0.3,0.5
Most-used stove usage: oven part,Do not have a stove,10.1,2.3,4,1.5,1.5,0.9
Frequency of hot meals cooked,No hot meals cooked,0.8,0.6,Q,Q,Q,Q
Frequency of hot meals cooked,Less than once a week,2.4,1.2,0.9,Q,Q,Q
Frequency of hot meals cooked,About once a week,2.6,0.9,1.2,Q,Q,Q
Frequency of hot meals cooked,A few times each week,19.9,7.3,7.5,2.8,1.7,0.6
Frequency of hot meals cooked,Once a day,36,8.7,14.1,6,4.1,3
Frequency of hot meals cooked,2 times a day,38.3,7.1,13.6,6.6,6.4,4.7
Frequency of hot meals cooked,3 or more times a day,18.1,2.8,5.4,3.8,2.8,3.4
Microwave ovens,Have a microwave oven,113.6,26.7,41.6,18.8,15.1,11.4
Microwave ovens,1,108.8,26.1,39.9,17.9,14.4,10.4
Microwave ovens,2 or more,4.8,0.6,1.7,0.9,0.7,1
Microwave ovens,Do not have a microwave oven,4.6,1.9,1.2,0.8,0.3,0.5
Microwave oven usage,0 times per week,1.6,0.8,0.4,Q,Q,Q
Microwave oven usage,1 to 3  times per week,10.5,3.4,3.8,1.5,1.2,0.6
Microwave oven usage,4 to 7 times per week,38.8,11.1,14.9,5.7,4.3,2.8
Microwave oven usage,8 to 14 times per week,27.8,6,10.4,5,3.7,2.7
Microwave oven usage,15 or more times per week,34.8,5.4,12,6.5,5.8,5.1
Microwave oven usage,Do not have a microwave oven,4.6,1.9,1.2,0.8,0.3,0.5
Refrigerators,Use a refrigerator,117.4,28,42.6,19.6,15.3,11.8
Refrigerators,1,82,24.3,28.4,13.2,9.2,6.9
Refrigerators,2 or more,35.4,3.7,14.2,6.4,6.1,4.9
Refrigerators,Do not use a refrigerator,0.8,0.5,Q,Q,Q,N
Most-used refrigerator size,Half-size or compact,0.9,0.4,Q,Q,Q,Q
Most-used refrigerator size,Small (less than 17.6 cubic feet),6.7,2.9,2.2,0.7,0.4,0.5
Most-used refrigerator size,Medium (17.6 to 22.5 cubic feet),59.2,16,22.1,9.6,6.2,5.3
Most-used refrigerator size,Large (22.6 to 29.5 cubic feet),48.8,8.7,17.5,8.9,8.1,5.7
Most-used refrigerator size,Very large (more than 29.5 cubic feet),1.8,Q,0.7,0.3,0.4,0.3
Most-used refrigerator size,Do not use a refrigerator,0.8,0.5,Q,Q,Q,N
Most-used refrigerator type,Half-size/compact,0.9,0.4,Q,Q,Q,Q
Most-used refrigerator type,One door,9.4,2.9,3.5,1.2,1,0.7
Most-used refrigerator type,"Two doors, top freezer",51.5,15.4,17.8,8.4,5.3,4.5
Most-used refrigerator type,"Two doors, bottom freezer",15.5,2.8,6,2.6,2.4,1.7
Most-used refrigerator type,"Two doors, side by side",37.2,6.1,14,6.9,5.9,4.4
Most-used refrigerator type,Three or more doors,2.9,0.5,1.1,0.4,0.4,0.4
Most-used refrigerator type,Do not use a refrigerator,0.8,0.5,Q,Q,Q,N
Most-used refrigerator age,Less than 2 years old,15.8,3.2,5.4,2.8,2.3,2.1
Most-used refrigerator age,2 to 4 years old,26.2,5.5,9.5,4.4,4,2.8
Most-used refrigerator age,5 to 9 years old,41,9.9,15.2,6.5,5.2,4.2
Most-used refrigerator age,10 to 14 years old,22.2,5.6,7.9,4.1,2.6,2
Most-used refrigerator age,15 to 19 years old,7.4,2.2,2.9,0.9,0.8,0.7
Most-used refrigerator age,20 or more years old,4.7,1.6,1.7,0.9,0.4,Q
Most-used refrigerator age,Do not use a refrigerator,0.8,0.5,Q,Q,Q,N
Most-used refrigerator through-the-door ice service,Yes,41.8,6.1,16.2,7.6,7.1,4.8
Most-used refrigerator through-the-door ice service,No,75.6,21.9,26.5,12,8.2,7
Most-used refrigerator through-the-door ice service,Do not use a refrigerator,0.8,0.5,Q,Q,Q,N
Second refrigerator,Use a second refrigerator,35.4,3.7,14.2,6.4,6.1,4.9
Second refrigerator,Do not use a second refrigerator,82.8,24.8,28.6,13.3,9.3,6.9
Second refrigerator size,Half-size or compact,8.2,1,3,1.6,1.4,1.3
Second refrigerator size,Small (less than 17.6 cubic feet),5.5,0.8,2.7,0.8,0.6,0.6
Second refrigerator size,Medium (17.6 to 22.5 cubic feet),14.6,1.5,5.9,3,2.4,1.9
Second refrigerator size,Large (22.6 to 29.5 cubic feet),6.9,0.5,2.6,1,1.7,1.2
Second refrigerator size,Very large (more than 29.5 cubic feet),0.2,Q,Q,Q,Q,Q
Second refrigerator size,Do not use a second refrigerator,82.8,24.8,28.6,13.3,9.3,6.9
Second refrigerator type,Half-size or compact,8.2,1,3,1.6,1.4,1.3
Second refrigerator type,One door,5.8,0.7,2.7,0.8,0.8,0.9
Second refrigerator type,"Two doors, top freezer",14.4,1.4,6,2.7,2.5,1.7
Second refrigerator type,"Two doors, bottom freezer",1.1,Q,0.4,0.2,Q,0.3
Second refrigerator type,"Two doors, side by side",5.7,0.5,2.1,1,1.2,0.9
Second refrigerator type,Three or more doors,Q,Q,Q,N,Q,N
Second refrigerator type,Do not use a second refrigerator,82.8,24.8,28.6,13.3,9.3,6.9
Second refrigerator age,Less than 2 years old,2.8,Q,1,0.5,0.4,0.7
Second refrigerator age,2 to 4 years old,5.1,0.4,1.7,1.1,1,0.8
Second refrigerator age,5 to 9 years old,9.8,1.1,3.4,1.9,1.9,1.4
Second refrigerator age,10 to 14 years old,9.3,0.9,3.8,1.5,1.6,1.4
Second refrigerator age,15 to 19 years old,4.8,0.5,2.4,0.8,0.7,0.3
Second refrigerator age,20 or more years old,3.6,0.6,1.8,0.5,0.4,0.3
Second refrigerator age,Do not use a second refrigerator,82.8,24.8,28.6,13.3,9.3,6.9
Second refrigerator location,Basement,6.8,0.7,3,1.4,1.2,0.7
Second refrigerator location,Garage,16.1,1.8,6.5,2.7,2.8,2.3
Second refrigerator location,Outside,1.8,0.2,0.7,0.4,0.2,0.2
Second refrigerator location,Main floor of house,8.9,0.9,3.4,1.5,1.7,1.4
Second refrigerator location,Some other location,1.7,0.2,0.6,0.4,0.2,0.4
Second refrigerator location,Do not use a second refrigerator,82.8,24.8,28.6,13.3,9.3,6.9
